drugbank_id,drug_name,dilirank_name,n_targets,dilirank,is_dili,Z,I_T,mu_T,pool_size,smiles,targets,target_list,logp,mw,hbd,hba,tpsa,rotatable,k,n_dili_hits,n_cyp_hits,n_tf_hits,n_transporter_hits,n_network_hits,network_fraction,dili_fraction,has_network_targets,has_transporter_targets,high_logp,ecnp_z,ecnp_eligible,y_pred_full,n_alerts,alert_names,y_pred_updated,y_pred_ecfp,y_pred_combined,drug_name_lower,livertox_cat,livertox_dili,has_livertox,consensus,final_label,y_pred,pred_binary,correct,fn,fp
DB00162,Vitamin A,Vitamin C,11,vNo-DILI-concern,0,0.6128090625657202,0.7640840178166162,0.6933764688146915,855,C(C(C1C(=C(C(=O)O1)O)O)O)O,"['APOD', 'PTGDS', 'RDH12', 'RDH5', 'ALDH1A2', 'ALDH1A1', 'LRAT', 'DHRS3', 'RETSAT', 'RDH11', 'DHRS4']","['APOD', 'PTGDS', 'RDH12', 'RDH5', 'ALDH1A2', 'ALDH1A1', 'LRAT', 'DHRS3', 'RETSAT', 'RDH11', 'DHRS4']",-1.4073999999999995,176.124,4.0,6.0,107.22,2.0,11,0,0,0,0,0,0.0,0.0,0,0,0,0.6128090625657202,0,0.63438743,2,"carboxylic_acid,michael_acceptor",0.4662608,0.6328189066071279,0.5903937901055164,vitamin a,,,False,,0,0.44592880615589825,0,True,False,False
DB00163,Vitamin E,Vitamin E,5,vNo-DILI-concern,0,0.1729685518703793,0.3417062520894954,0.3272594712460401,257,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,"['NR1I2', 'ALOX5', 'PRKCA', 'PPP2CB', 'PPP2CA']","['NR1I2', 'ALOX5', 'PRKCA', 'PPP2CB', 'PPP2CA']",8.840260000000002,430.7170000000002,1.0,2.0,29.46,12.0,5,1,0,1,0,1,0.2,0.2,1,0,1,0.1729685518703793,1,0.4143287,1,hydroquinone,0.7335836,0.5429010136369965,0.7163723997626663,vitamin e,,,False,,0,0.6430342814498091,1,False,False,True
DB00166,Lipoic acid,Valproic acid,3,vMost-DILI-concern,1,0.0012808256518554,0.0205569751345016,0.0204471537940689,512,CCCC(CCC)C(=O)O,"['LIPT1', 'SLC5A6', 'LIAS']","['LIPT1', 'SLC5A6', 'LIAS']",2.2874,144.214,1.0,1.0,37.3,5.0,3,0,0,0,0,0,0.0,0.0,0,0,0,0.0012808256518554,0,0.4541788,1,carboxylic_acid,0.669527,0.6945124843772215,0.7188568027117792,lipoic acid,,,False,,1,0.7588797326581649,1,True,False,False
DB00172,Proline,Pemoline,14,vMost-DILI-concern,1,-1.4065680108904102,0.2944995156489617,0.3965819145074379,1414,C1=CC=C(C=C1)C2C(=O)N=C(O2)N,"['PPIB', 'PPIA', 'PYCR1', 'PYCR2', 'P4HA2', 'PRODH', 'PPIH', 'P4HA1', 'PPIF', 'PPIG', 'P3H1', 'PARS2', 'P3H3', 'L3HYPDH']","['PPIB', 'PPIA', 'PYCR1', 'PYCR2', 'P4HA2', 'PRODH', 'PPIH', 'P4HA1', 'PPIF', 'PPIG', 'P3H1', 'PARS2', 'P3H3', 'L3HYPDH']",0.5992000000000001,176.17499999999995,1.0,3.0,64.67999999999999,1.0,14,0,0,0,0,0,0.0,0.0,0,0,0,-1.4065680108904102,0,0.6993555,0,,0.8444517,0.7448194522553594,0.4650117881078375,proline,,,False,,1,0.669324799438825,1,True,False,False
DB00173,Adenine,Adenosine,4,vNo-DILI-concern,0,0.0075158989837447,0.0444075788703567,0.0438217257629995,439,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,"['APRT', 'MTAP', 'ACACB', 'SRPK2']","['APRT', 'MTAP', 'ACACB', 'SRPK2']",-1.979999999999999,267.245,4.0,9.0,139.54000000000002,2.0,4,0,0,0,0,0,0.0,0.0,0,0,0,0.0075158989837447,0,0.18932973,0,,0.14404576,0.2764887426362679,0.1406176115389097,adenine,,,False,,0,0.2526729953135054,0,True,False,False
DB00182,Amphetamine,Amphetamine sulfate,3,vLess-DILI-concern,1,0.0407229279134931,0.0895055440538364,0.0858987460782253,350,CC(CC1=CC=CC=C1)N.CC(CC1=CC=CC=C1)N.OS(=O)(=O)O,"['MAOA', 'ADRA1A', 'MAOB']","['MAOA', 'ADRA1A', 'MAOB']",2.4998000000000005,368.499,4.0,4.0,126.64,4.0,3,0,0,0,0,0,0.0,0.0,0,0,0,0.0407229279134931,0,0.055200193,0,,0.05990708,0.7223815489821556,0.6949492484496129,amphetamine,,,False,,1,0.5712975465712702,1,True,False,False
DB00188,Bortezomib,Bortezomib,3,vMost-DILI-concern,1,-0.1655785122138706,0.030319911183332,0.0457280138813414,265,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,"['PSMB5', 'PRSS1', 'PSMB1']","['PSMB5', 'PRSS1', 'PSMB1']",0.3605999999999987,384.2450000000001,4.0,6.0,124.44,9.0,3,0,0,0,0,0,0.0,0.0,0,0,0,-0.1655785122138706,0,0.50462854,2,lipophilic_amine,0.11401972,0.5557430189840007,0.6502753908328884,bortezomib,,,False,,1,0.6203927377708989,1,True,False,False
DB00197,Troglitazone,Troglitazone,7,vMost-DILI-concern,1,3.5529257386319064,0.6353364660400564,0.348222174126044,881,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,"['PPARG', 'ESRRA', 'PPARD', 'PPARA', 'GSTP1', 'ACSL4', 'SERPINE1']","['PPARG', 'ESRRA', 'PPARD', 'PPARA', 'GSTP1', 'ACSL4', 'SERPINE1']",4.374260000000003,441.54900000000015,2.0,6.0,84.86,5.0,7,2,0,1,0,2,0.2857142857142857,0.2857142857142857,1,0,1,3.5529257386319064,1,0.9766558,1,hydroquinone,0.9691937,0.659839316152627,0.7120017996320958,troglitazone,,,False,,1,0.7761377943096035,1,True,False,False
DB00201,Caffeine,Caffeine citrate,10,vNo-DILI-concern,0,1.2010143263289843,0.2848060096276592,0.1818261267151956,791,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,"['NT5E', 'ADORA2A', 'PDE4B', 'PDE4A', 'PRKDC', 'PIK3CD', 'PIK3CA', 'PIK3CB', 'ITPR1', 'ATM']","['NT5E', 'ADORA2A', 'PDE4B', 'PDE4A', 'PRKDC', 'PIK3CD', 'PIK3CA', 'PIK3CB', 'ITPR1', 'ATM']",-2.277799999999997,386.3170000000001,4.0,10.0,193.95,5.0,10,1,0,0,0,1,0.1,0.1,1,0,0,1.2010143263289843,1,0.78085375,3,carboxylic_acid,0.22510362,0.4814900365426404,0.5120248456249494,caffeine,,,False,,0,0.44102908502789895,0,True,False,False
DB00227,Lovastatin,Lovastatin,3,vLess-DILI-concern,1,-0.081322247179862,0.0360992402362532,0.0432647848163283,220,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,"['HMGCR', 'ITGAL', 'HDAC2']","['HMGCR', 'ITGAL', 'HDAC2']",4.195500000000004,404.54700000000025,1.0,5.0,72.83000000000001,6.0,3,0,0,0,0,0,0.0,0.0,0,0,1,-0.081322247179862,0,0.97928315,2,carboxylic_acid,0.977684,0.8654878339222872,0.7957216944516682,lovastatin,,,False,,1,0.8640577822132093,1,True,False,False
DB00233,Aminosalicylic acid,Aminosalicylic acid ,4,vMOST-DILI-concern,1,2.4446706727004432,0.3817450549417288,0.2124452692492843,341,C1=CC(=C(C=C1N)O)C(=O)O,"['DHFR', 'PTGS2', 'CHUK', 'ALOX5']","['DHFR', 'PTGS2', 'CHUK', 'ALOX5']",0.6726,153.137,3.0,3.0,83.55,1.0,4,1,0,0,0,1,0.25,0.25,1,0,0,2.4446706727004432,1,0.99319285,2,"aniline,carboxylic_acid",0.9965251,0.8556022877878575,0.8799819842974651,aminosalicylic acid,,,False,,1,0.9006640723374898,1,True,False,False
DB00242,Cladribine,Cladribine,10,vLess-DILI-concern,1,0.4594334509141496,0.336514585105486,0.2907101607257413,679,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,"['RRM1', 'ADA', 'RRM2B', 'POLA1', 'POLE', 'POLE2', 'POLE3', 'POLE4', 'PNP', 'PARP1']","['RRM1', 'ADA', 'RRM2B', 'POLA1', 'POLE', 'POLE2', 'POLE3', 'POLE4', 'PNP', 'PARP1']",-0.2974000000000001,285.691,3.0,8.0,119.31,2.0,10,1,0,0,0,1,0.1,0.1,1,0,0,0.4594334509141496,1,0.9681916,0,,0.97593313,0.5560727222018158,0.5860165342917057,cladribine,,,False,,1,0.7142460763108056,1,True,False,False
DB00244,Mesalazine,Mesalamine,5,vLess-DILI-concern,1,0.6058452998387699,0.3984683027525904,0.347282063860086,232,C1=CC(=C(C=C1N)C(=O)O)O,"['PTGS2', 'ALOX5', 'PPARG', 'CHUK', 'IKBKB']","['PTGS2', 'ALOX5', 'PPARG', 'CHUK', 'IKBKB']",0.6725999999999999,153.137,3.0,3.0,83.55000000000001,1.0,5,1,0,0,0,1,0.2,0.2,1,0,0,0.6058452998387699,1,0.9959615,3,"aminophenol,aniline,carboxylic_acid",0.9976247,0.8288669637179072,0.8215054671462199,mesalazine,,,False,,1,0.8633692380294975,1,True,False,False
DB00246,Ziprasidone,Ziprasidone hydrochloride,3,vLess-DILI-concern,1,-0.002670790108699,0.0401407873989792,0.0405175684636718,244,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54.Cl,"['ADRA1A', 'ADRA1B', 'ADRA2B']","['ADRA1A', 'ADRA1B', 'ADRA2B']",4.230800000000004,449.4070000000001,1.0,5.0,48.47,4.0,3,0,0,0,0,0,0.0,0.0,0,0,1,-0.002670790108699,0,0.9923475,2,"aniline,chlorinated_aromatic",0.9940606,0.7353964329072248,0.7528876574674814,ziprasidone,,,False,,1,0.810114594317288,1,True,False,False
DB00248,Cabergoline,Cabergoline,4,vNo-DILI-concern,0,0.0242045082210712,0.0499660371507879,0.0469128142156312,470,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C,"['ADRA2B', 'ADRA1A', 'ADRA1B', 'ADRB2']","['ADRA2B', 'ADRA1A', 'ADRA1B', 'ADRB2']",3.193900000000002,451.6150000000002,2.0,4.0,71.67999999999999,8.0,4,0,0,0,0,0,0.0,0.0,0,0,1,0.0242045082210712,0,0.11081263,3,lipophilic_amine,0.12988426,0.5327764411007866,0.5342546323760187,cabergoline,,,False,,0,0.6225708580293429,1,False,False,True
DB00252,Phenytoin,Phenytoin,3,vMost-DILI-concern,1,2.11478356864252,0.2269394192930013,0.0455763037005093,474,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,"['SCN8A', 'NR1I2', 'SCN1B']","['SCN8A', 'NR1I2', 'SCN1B']",1.7696,252.273,2.0,2.0,58.2,2.0,3,1,0,1,0,1,0.3333333333333333,0.3333333333333333,1,0,0,2.11478356864252,1,0.92969394,0,,0.94555634,0.8137722656955062,0.842813846536807,phenytoin,A,1.0,True,True,1,0.8058316007756099,1,True,False,False
DB00279,Liothyronine,Liothyronine sodium,3,vNo-DILI-concern,0,-0.3630560474721638,0.0551528673982849,0.086593808901206,331,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)[O-])N)I)I)O.[Na+],"['THRA', 'THRB', 'PCNA']","['THRA', 'THRB', 'PCNA']",-0.3780000000000004,672.9580000000001,2.0,5.0,95.61,5.0,3,0,0,0,0,0,0.0,0.0,0,0,0,-0.3630560474721638,0,0.9801931,2,"hydroquinone,carboxylic_acid",0.97060513,0.7788424048836912,0.7420477188985513,liothyronine,E,0.0,True,True,0,0.6611107775461714,1,False,False,True
DB00281,Lidocaine,Lidocaine,4,vNo-DILI-concern,0,1.0213340923855172,0.2540227235341682,0.1675433961098793,514,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,"['SCN9A', 'EGFR', 'ORM1', 'ORM2']","['SCN9A', 'EGFR', 'ORM1', 'ORM2']",2.5837400000000006,234.343,1.0,2.0,32.34,5.0,4,0,0,0,0,0,0.0,0.0,0,0,0,1.0213340923855172,0,0.9719168,1,aniline,0.90215015,0.7998012517433967,0.773259072628989,lidocaine,E,0.0,True,True,0,0.8324091275137399,1,False,False,True
DB00313,Valproic acid,Valproic acid,13,vMost-DILI-concern,1,-0.3613267959605603,0.4134446532972456,0.439491555056262,1450,CCCC(CCC)C(=O)O,"['ABAT', 'GSK3A', 'ACADSB', 'OGDH', 'ALDH5A1', 'HDAC2', 'PPARA', 'PPARD', 'PPARG', 'HDAC1', 'CDKN1A', 'HGF', 'ODC1']","['ABAT', 'GSK3A', 'ACADSB', 'OGDH', 'ALDH5A1', 'HDAC2', 'PPARA', 'PPARD', 'PPARG', 'HDAC1', 'CDKN1A', 'HGF', 'ODC1']",2.2874,144.214,1.0,1.0,37.3,5.0,13,1,0,1,0,1,0.0769230769230769,0.0769230769230769,1,0,0,-0.3613267959605603,1,0.83950126,1,carboxylic_acid,0.7852801,0.7606739424201737,0.7975694688815449,valproic acid,A,1.0,True,True,1,0.6834591056833652,1,True,False,False
DB00316,Acetaminophen,Acetaminophen,3,vMost-DILI-concern,1,1.7853803690737746,0.2817927957968599,0.1261765062060391,404,CC(=O)NC1=CC=C(C=C1)O,"['PTGS2', 'PTGES3', 'TRPV1']","['PTGS2', 'PTGES3', 'TRPV1']",1.3505999999999998,151.165,2.0,2.0,49.33,1.0,3,1,0,0,0,1,0.3333333333333333,0.3333333333333333,1,0,0,1.7853803690737746,1,0.998348,2,"aminophenol,aniline",0.99699104,0.7728138710071757,0.8532413927704208,acetaminophen,A,1.0,True,True,1,0.8045251145060898,1,True,False,False
DB00321,Amitriptyline,Amitriptyline hydrochloride,3,vLess-DILI-concern,1,0.0056341242630323,0.0363745283264336,0.0357567934826257,386,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,"['ADRA1A', 'SIGMAR1', 'ADRA1B']","['ADRA1A', 'SIGMAR1', 'ADRA1B']",4.590400000000005,313.872,0.0,1.0,3.24,3.0,3,0,0,0,0,0,0.0,0.0,0,0,1,0.0056341242630323,0,0.9420474,0,,0.9035487,0.7864540282873651,0.8762770603681446,amitriptyline,,,False,,1,0.6527281348993712,1,True,False,False
DB00328,Indomethacin,Indomethacin,7,vMost-DILI-concern,1,4.917098209516696,0.6376598103458218,0.3407226454237335,532,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,"['PTGS2', 'PLA2G2A', 'PPARG', 'GLO1', 'PPARA', 'AKR1C3', 'EIF2AK2']","['PTGS2', 'PLA2G2A', 'PPARG', 'GLO1', 'PPARA', 'AKR1C3', 'EIF2AK2']",3.9273200000000026,357.7930000000002,1.0,4.0,68.53,4.0,7,2,0,1,0,2,0.2857142857142857,0.2857142857142857,1,0,1,4.917098209516696,1,0.9951196,2,"carboxylic_acid,chlorinated_aromatic",0.9971175,0.7449379654319053,0.872113038558864,indomethacin,,,False,,1,0.8946787862991321,1,True,False,False
DB00331,Metformin,Metformin hydrochloride,4,vLess-DILI-concern,1,-0.0089428667175446,0.0332253239747728,0.0341178990474519,504,CN(C)C(=N)N=C(N)N.Cl,"['ACACB', 'ETFDH', 'PRKAB1', 'GPD1']","['ACACB', 'ETFDH', 'PRKAB1', 'GPD1']",-0.8220300000000003,165.628,3.0,1.0,91.49,0.0,4,0,0,0,0,0,0.0,0.0,0,0,0,-0.0089428667175446,0,0.017813148,0,,0.11845886,0.654672230737946,0.6165343359680042,metformin,C,1.0,True,True,1,0.5549207063649129,1,True,False,False
DB00346,Alfuzosin,Alfuzosin hydrochloride,3,vLess-DILI-concern,1,-0.003742612015088,0.0396452221224486,0.0401732069053323,241,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC.Cl,"['ADRA1A', 'ADRA1A', 'ADRA1B']","['ADRA1A', 'ADRA1A', 'ADRA1B']",1.7724999999999995,425.9170000000001,2.0,8.0,111.83,8.0,3,0,0,0,0,0,0.0,0.0,0,0,0,-0.003742612015088,0,0.87136716,2,"catechol,lipophilic_amine",0.8764048,0.5701857438683536,0.6205532626480175,alfuzosin,,,False,,1,0.6238286414140236,1,True,False,False
DB00363,Clozapine,Clozapine,5,vMost-DILI-concern,1,1.403951437891738,0.2948731443588945,0.1457461427871728,519,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,"['ADRA1A', 'ADRA1B', 'ADRA2B', 'GSTP1', 'GABBR1']","['ADRA1A', 'ADRA1B', 'ADRA2B', 'GSTP1', 'GABBR1']",3.7227000000000015,326.8310000000001,1.0,4.0,30.87,0.0,5,1,0,0,0,1,0.2,0.2,1,0,1,1.403951437891738,1,0.790554,4,"aniline,chlorinated_aromatic",0.8823528,0.9266020921443996,0.9464642902579874,clozapine,C,1.0,True,True,1,0.9432486878276574,1,True,False,False
DB00367,Levonorgestrel,Levonorgestrel,5,vNo-DILI-concern,0,1.231200490021546,0.2912007756815035,0.1951463088556553,524,CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34,"['SRD5A1', 'ESR1', 'AR', 'SHBG', 'NR3C1']","['SRD5A1', 'ESR1', 'AR', 'SHBG', 'NR3C1']",3.882600000000004,312.45300000000003,1.0,2.0,37.3,1.0,5,0,0,0,0,0,0.0,0.0,0,0,1,1.231200490021546,0,0.9949079,1,michael_acceptor,0.9939505,0.6606379088091413,0.7867097250218277,levonorgestrel,,,False,,0,0.7718725784141095,1,False,False,True
DB00368,Norepinephrine,Norepinephrine bitartrate,5,vNo-DILI-concern,0,-0.0543800162217583,0.0681269313356162,0.0737188971866739,677,C1=CC(=C(C=C1C(CN)O)O)O.C(C(C(=O)O)O)(C(=O)O)O.O,"['ADRA1A', 'ADRA1B', 'ADRA2B', 'ADRB2', 'PAH']","['ADRA1A', 'ADRA1B', 'ADRA2B', 'ADRB2', 'PAH']",-2.8574,337.2810000000001,8.0,8.0,233.27,5.0,5,0,0,0,0,0,0.0,0.0,0,0,0,-0.0543800162217583,0,0.04050141,3,"catechol,carboxylic_acid",0.061671305,0.412000766234981,0.3322799584262039,norepinephrine,,,False,,0,0.251174290419068,0,True,False,False
DB00390,Digoxin,Digoxin,4,vNo-DILI-concern,0,0.0019981265450498,0.0288441453267431,0.0285623850995487,264,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,"['ATP1B1', 'ATP1B2', 'ATP1B3', 'ATP1A1']","['ATP1B1', 'ATP1B2', 'ATP1B3', 'ATP1A1']",2.2181000000000024,780.9490000000003,6.0,14.0,203.06,7.0,4,0,0,0,0,0,0.0,0.0,0,0,0,0.0019981265450498,0,0.016410034,2,"carboxylic_acid,michael_acceptor",0.015881145,0.1660001883522641,0.2265327254042715,digoxin,,,False,,0,0.16779325695658479,0,True,False,False
