dilirank_name,is_dili,n_targets_uniprot,n_targets_mapped,ecnp_z,ecnp_mu_T,ecnp_sigma_T,pool_size,I_T,k,drugbank_id,smiles
Alclofenac,1,1,1,2.5383099739807014,0.07734422894122142,0.06548941841344119,168,0.2435766728902546,1,DB13167,C=CCOC1=C(C=C(C=C1)CC(=O)O)Cl
Alendronate sodium,1,5,5,0.04665502538298875,0.01983038073396388,0.07465462421626906,374,0.0233133941217314,3,DB00630,C(CC(O)(P(=O)(O)O)P(=O)(O)[O-])CN.O.O.O.[Na+]
Alfentanil hydrochloride,0,1,1,,0.0,0.0,0,0.0,0,DB00802,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC.Cl
Alfuzosin hydrochloride,1,4,4,-0.0037807993406200383,0.0401732069053323,0.1396489830103255,241,0.0396452221224486,3,DB00346,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC.Cl
Allopurinol,1,1,1,-0.03422094393024447,0.07475876439553285,0.06454648560874675,212,0.0725499227306216,1,DB00437,C1=NNC2=C1C(=O)NC=N2
Alosetron hydrochloride,1,1,1,,0.0,0.0,0,0.0,0,DB00969,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C.Cl
Alpelisib,1,1,1,0.472816711639487,0.009303277437650003,0.006982187960331795,83,0.0126045725891029,1,DB12015,CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F
Alprazolam,1,3,3,-0.5341522236995966,0.02755790755617818,0.011987079094581358,190,0.0211549826021446,1,DB00404,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
Alvimopan,0,3,3,,0.0,0.0,0,0.0,0,DB06274,CC1CN(CCC1(C)C2=CC(=CC=C2)O)CC(CC3=CC=CC=C3)C(=O)NCC(=O)O
Amifampridine,0,1,1,,0.0,0.0,0,0.0,0,DB11640,C1=CN=CC(=C1N)N
Amifostine,0,1,1,,0.0,0.0,0,0.0,0,DB01143,C(CN)CNCCSP(=O)(O)O
Amikacin sulfate,0,1,1,,0.0,0.0,0,0.0,0,DB00479,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N.OS(=O)(=O)O.OS(=O)(=O)O
Amiloride hydrochloride,1,9,9,0.5615444087244786,0.11297850847916785,0.06902399858619881,723,0.1517385489530541,4,DB00594,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N.O.O.Cl
Amineptine,1,3,3,,0.0,0.0,0,0.0,0,DB04836,C1CC2=CC=CC=C2C(C3=CC=CC=C31)NCCCCCCC(=O)O
Aminocaproic acid,0,3,3,8.447895478513702,0.1834359336204342,0.05868212490449039,415,0.6791763912706549,3,DB00513,C(CCC(=O)O)CCN
Aminohippurate sodium,0,1,1,,0.0,0.0,0,0.0,0,DB00345,C1=CC(=CC=C1C(=O)NCC(=O)[O-])N.[Na+]
Aminophylline,0,4,4,0.2758060243429563,0.006016821379805708,0.00423870847555527,123,0.0071858827127974,1,DB01223,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N
Aminosalicylic acid ,0,6,6,2.552439942308962,0.20706003438996765,0.06843844497815663,358,0.38174505494172883,4,DB00233,C1=CC(=C(C=C1N)O)C(=O)O
Amiodarone hydrochloride,1,8,8,0.5363559366266245,0.17699691600309736,0.09727836567721576,457,0.2291727449394077,3,DB01118,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl
Amisulpride,1,7,7,,0.0,0.0,0,0.0,0,DB06288,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
Amitriptyline hydrochloride,1,28,28,0.005691604737732374,0.0357567934826257,0.1085343892053391,386,0.036374528326433696,3,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl
Amoxicillin,1,1,1,,0.0,0.0,0,0.0,0,DB01060,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C
Amphetamine sulfate,1,11,11,0.041109751747752124,0.0858987460782253,0.08773582476834879,350,0.0895055440538364,3,DB00182,CC(CC1=CC=CC=C1)N.CC(CC1=CC=CC=C1)N.OS(=O)(=O)O
Ampicillin sodium,1,8,8,-0.5225979807073861,0.064537631259534,0.06117132708285413,106,0.0325696192488434,1,DB00415,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)[O-])C.[Na+]
Anastrozole,1,1,1,,0.0,0.0,0,0.0,0,DB01217,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
Angiotensin ii acetate,0,2,2,-0.2851839785404194,0.04683375937040822,0.04190753390682375,246,0.0348824021200427,1,DB11842,CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)N2CCCC2C(=O)NC(CC3=CC=CC=C3)C(=O)O)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(C(C)C)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(=O)O)N.CC(=O)O
Anidulafungin,1,2,2,,0.0,0.0,0,0.0,0,DB00362,CCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C(=O)NC4CC(C(NC(=O)C5C(C(CN5C(=O)C(NC(=O)C(NC(=O)C6CC(CN6C(=O)C(NC4=O)C(C)O)O)C(C(C7=CC=C(C=C7)O)O)O)C(C)O)C)O)O)O
Apalutamide,0,2,2,-0.009817404209215176,0.01610714109775687,0.0039598309018468334,130,0.0160682658371933,1,DB11901,CNC(=O)C1=C(C=C(C=C1)N2C(=S)N(C(=O)C23CCC3)C4=CC(=C(N=C4)C#N)C(F)(F)F)F
Apixaban,1,1,1,0.05888251598630107,0.055517103468817657,0.04460813661852916,187,0.0581437427863773,1,DB06605,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N
Aplaviroc,1,1,1,,0.0,0.0,0,0.0,0,DB06497,CCCCN1C(=O)C(NC(=O)C12CCN(CC2)CC3=CC=C(C=C3)OC4=CC=C(C=C4)C(=O)O)C(C5CCCCC5)O
Apomorphine hydrochloride,0,14,14,-0.26484693455984315,0.015099307464135762,0.005243285708014065,119,0.0137106393173468,1,DB00714,CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.O.Cl.Cl
Apremilast,0,3,3,-0.0017083736708927743,0.015703861213495166,0.1387762948126967,276,0.015466779445293101,2,DB05676,CCOC1=C(C=CC(=C1)C(CS(=O)(=O)C)N2C(=O)C3=C(C2=O)C(=CC=C3)NC(=O)C)OC
Argatroban,0,1,1,0.9323922755199979,0.04174490121399085,0.06178290189048163,104,0.0993508016958858,1,DB00278,CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C
Arginine hydrochloride,0,9,9,-0.19840804638469148,0.10073615049399132,0.13543800382869645,514,0.07386416074809729,3,DB00125,C(CC(C(=O)O)N)CN=C(N)N.Cl
Aripiprazole,1,38,38,0.024451470227802027,0.04691281421563122,0.1248686850611167,470,0.0499660371507879,4,DB01238,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
Aripiprazole lauroxil,1,25,25,-0.0026980408730877,0.040517568463671855,0.13964987278397187,244,0.0401407873989792,3,DB14185,CCCCCCCCCCCC(=O)OCN1C(=O)CCC2=C1C=C(C=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
Aspirin,1,19,19,0.7355586916640812,0.48990779577654053,0.08457121386256787,1435,0.5521148871977342,17,DB00945,CC(=O)OC1=CC=CC=C1C(=O)O
Atazanavir sulfate,1,2,2,,0.0,0.0,0,0.0,0,DB01072,CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC.OS(=O)(=O)O
Atenolol,1,2,2,0.013111658454856514,0.00980896800276412,0.0012417764770671757,226,0.0098252497518087,1,DB00335,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
Atomoxetine hydrochloride,1,5,5,,0.0,0.0,0,0.0,0,DB00289,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2.Cl
Atropine,0,8,8,0.08187328544060735,0.008732696512342195,0.0010628443500014515,183,0.0088197150711888,1,DB00572,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
Auranofin,1,5,5,-0.6794766475030452,0.1526935347839446,0.09351324549942377,431,0.0891534682348669,3,DB00995,CCP(CC)CC.CC(=O)OCC1C(C(C(C(O1)[S-])OC(=O)C)OC(=O)C)OC(=O)C.[Au+]
Avanafil,0,1,1,,0.0,0.0,0,0.0,0,DB06237,COC1=C(C=C(C=C1)CNC2=NC(=NC=C2C(=O)NCC3=NC=CC=N3)N4CCCC4CO)Cl
Avatrombopag maleate,0,1,1,,0.0,0.0,0,0.0,0,DB11995,C1CCC(CC1)N2CCN(CC2)C3=C(N=C(S3)NC(=O)C4=CC(=C(N=C4)N5CCC(CC5)C(=O)O)Cl)C6=CC(=CS6)Cl.C(=CC(=O)O)C(=O)O
Azathioprine,1,2,2,-0.04743065458206732,0.025550207589992883,0.04745823471981422,292,0.0232992324519227,2,DB00993,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
Azithromycin,1,1,1,,0.0,0.0,0,0.0,0,DB00207,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
Bacitracin,0,2,2,0.287043168960704,0.12068703979882599,0.07347833034633762,380,0.1417784925913802,2,DB00626,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCCCC(C(=O)NC(C(=O)N1)CCCN)NC(=O)C(C(C)CC)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C2CSC(=N2)C(C(C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4
Baclofen,1,3,3,0.19390472078324547,0.0328161259640728,0.11068714434403398,287,0.0542788857823975,2,DB00181,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
Baloxavir marboxil,0,1,1,,0.0,0.0,0,0.0,0,DB13997,COC(=O)OCOC1=C2C(=O)N3CCOCC3N(N2C=CC1=O)C4C5=C(CSC6=CC=CC=C46)C(=C(C=C5)F)F
Benazepril hydrochloride,1,1,1,,0.0,0.0,0,0.0,0,DB00542,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O.Cl
Bendazac,1,2,2,2.5383099739807014,0.07734422894122142,0.06548941841344119,168,0.2435766728902546,1,DB13501,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)OCC(=O)O
Bendroflumethiazide,1,6,6,0.004829478923863789,0.018253475434506897,0.13147662206184857,269,0.0188884390097354,2,DB00436,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
Benoxaprofen,1,1,1,-0.21533854512302977,0.008289285615082652,0.0016424007225152768,141,0.0079356134329872,1,DB04812,CC(C1=CC2=C(C=C1)OC(=N2)C3=CC=C(C=C3)Cl)C(=O)O
Benzbromarone,1,5,5,6.457898284241243,0.15649507501358567,0.05453593300516094,255,0.5086825831971099,3,DB12319,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br
Benzonatate,1,1,1,,0.0,0.0,0,0.0,0,DB00868,CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC
Benzphetamine hydrochloride,0,4,4,-0.07478464595336558,0.01339034171667704,0.0023436318194263424,242,0.0132150740408162,1,DB00865,CC(CC1=CC=CC=C1)N(C)CC2=CC=CC=C2.Cl
Benztropine mesylate,0,5,5,,0.0,0.0,0,0.0,0,DB00245,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4.CS(=O)(=O)O
Betaine,0,1,1,-0.5395250077670284,0.06231732953002829,0.06150517388304946,273,0.0291337501130636,1,DB06756,C[N+](C)(C)CC(=O)[O-]
Betrixaban,0,1,1,0.05888251598630107,0.055517103468817657,0.04460813661852916,187,0.0581437427863773,1,DB12364,CN(C)C(=N)C1=CC=C(C=C1)C(=O)NC2=C(C=C(C=C2)OC)C(=O)NC3=NC=C(C=C3)Cl
Bexarotene,1,3,3,-0.01607667556182653,0.12452409618645102,0.13279521579757278,304,0.1223891905859107,2,DB00307,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C
Bicalutamide,1,1,1,-0.009817404209215176,0.01610714109775687,0.0039598309018468334,130,0.0160682658371933,1,DB01128,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
Biperiden hydrochloride,0,1,1,,0.0,0.0,0,0.0,0,DB00810,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O.Cl
Bisacodyl,0,2,2,0.07245481622940866,0.007149447310981952,0.0010399893773295277,218,0.0072247995501969,1,DB09020,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3
Bivalirudin,0,1,1,0.9323922755199979,0.04174490121399085,0.06178290189048163,104,0.0993508016958858,1,DB00006,CCC(C)C(C(=O)N1CCCC1C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)NC(CC(C)C)C(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(=O)N)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C4CCCN4C(=O)C(CCCNC(=N)N)NC(=O)C5CCCN5C(=O)C(CC6=CC=CC=C6)N
Bortezomib,1,3,3,-0.48314903787485114,0.0759123489293869,0.09436516306975344,289,0.030319911183332098,3,DB00188,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O
Bosentan,1,2,2,-0.28057813706637547,0.10018378723711625,0.1436692973166528,435,0.0598733234423746,2,DB00559,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC
Brexanolone,0,6,6,,0.0,0.0,0,0.0,0,DB11859,CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C
Brexpiprazole,0,12,12,-0.0025204734926219754,0.0267821379368882,0.13965227418029136,241,0.0264301480816324,2,DB09128,C1CN(CCN1CCCCOC2=CC3=C(C=C2)C=CC(=O)N3)C4=C5C=CSC5=CC=C4
Brivaracetam,0,2,2,,0.0,0.0,0,0.0,0,DB05541,CCCC1CC(=O)N(C1)C(CC)C(=O)N
Bromfenac sodium,1,2,2,2.5383099739807014,0.07734422894122142,0.06548941841344119,168,0.2435766728902546,1,DB00963,C1=CC(=C(C(=C1)C(=O)C2=CC=C(C=C2)Br)N)CC(=O)[O-].C1=CC(=C(C(=C1)C(=O)C2=CC=C(C=C2)Br)N)CC(=O)[O-].O.O.O.[Na+].[Na+]
Bromocriptine mesylate,1,18,18,-0.00269804087308765,0.04051756846367185,0.13964987278397187,244,0.0401407873989792,3,DB01200,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O.CS(=O)(=O)O
Brompheniramine maleate,0,6,6,,0.0,0.0,0,0.0,0,DB00835,CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2.C(=CC(=O)O)C(=O)O
Budesonide,0,2,2,-0.4443044160465996,0.07722550584331826,0.05832058962039069,377,0.0513134103285372,2,DB01222,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C
Bupropion hydrochloride,1,5,5,,0.0,0.0,0,0.0,0,DB01156,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C.Cl
Butorphanol tartrate,0,3,3,,0.0,0.0,0,0.0,0,DB00611,C1CCC2(C3CC4=C(C2(C1)CCN3CC5CCC5)C=C(C=C4)O)O.C(C(C(=O)O)O)(C(=O)O)O
Cabergoline,0,21,21,0.024451470227802027,0.04691281421563122,0.1248686850611167,470,0.0499660371507879,4,DB00248,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C
Caffeine citrate,0,15,15,1.2062132845819047,0.18242040631100082,0.08488184023951208,799,0.2848060096276592,10,DB00201,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
Calcitonin salmon,0,1,1,,0.0,0.0,0,0.0,0,DB00017,CC(C)CC1C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)N1)CC(=O)N)CO)N)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC2=CN=CN2)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(C(C)O)C(=O)NC(CC3=CC=C(C=C3)O)C(=O)N4CCCC4C(=O)NC(CCCNC(=N)N)C(=O)NC(C(C)O)C(=O)NC(CC(=O)N)C(=O)NC(C(C)O)C(=O)NCC(=O)NC(CO)C(=O)NCC(=O)NC(C(C)O)C(=O)N5CCCC5C(=O)N)C(C)O)CO
Calcitriol,0,2,2,,0.0,0.0,0,0.0,0,DB00136,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
Calcium acetate,0,20,20,0.2856471030688241,0.3020588259845656,0.07813835067200914,1874,0.32437881949260094,12,DB01373,CC(=O)[O-].CC(=O)[O-].[Ca+2]
Canagliflozin,1,1,1,,0.0,0.0,0,0.0,0,DB08907,CC1=C(C=C(C=C1)C2C(C(C(C(O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F
Candesartan cilexetil,1,1,1,-0.2851839785404194,0.04683375937040822,0.04190753390682375,246,0.0348824021200427,1,DB00796,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6
Cangrelor,0,1,1,,0.0,0.0,0,0.0,0,DB06441,CSCCNC1=C2C(=NC(=N1)SCCC(F)(F)F)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(C(P(=O)(O)O)(Cl)Cl)O)O)O
Capecitabine,1,2,2,0.07774396652978706,0.020572186585888264,0.0090876097429238,122,0.0212786934135779,1,DB01101,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O
Capmatinib hydrochloride,1,1,1,-0.2853050661094117,0.038538137259332535,0.057072058771757604,107,0.022255189758456,1,DB11791,CNC(=O)C1=C(C=C(C=C1)C2=NN3C(=CN=C3N=C2)CC4=CC5=C(C=C4)N=CC=C5)F.O.Cl.Cl
Captopril,1,5,5,1.4797652277863218,0.2151879571890001,0.08285400135572227,296,0.3377924273781587,3,DB01197,CC(CS)C(=O)N1CCCC1C(=O)O
Carbamazepine,1,3,3,5.3258237937722,0.0431035298306696,0.03274428281050916,240,0.2174938103328853,2,DB00564,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
Carbinoxamine maleate,0,1,1,,0.0,0.0,0,0.0,0,DB00748,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=CC(=O)O)C(=O)O
Carboprost tromethamine,0,2,2,,0.0,0.0,0,0.0,0,DB00429,CCCCCC(C)(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O.C(C(CO)(CO)N)O
Carfilzomib,1,6,6,0.021200153869661804,0.02170239727690205,0.12701592717207502,341,0.0243951544768478,6,DB08889,CC(C)CC(C(=O)C1(CO1)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(CCC3=CC=CC=C3)NC(=O)CN4CCOCC4
Carglumic acid,0,1,1,-0.5312396673098232,0.024763140798642034,0.009711001549047618,184,0.0196042715664808,1,DB06775,C(CC(=O)O)C(C(=O)O)NC(=O)N
Carisoprodol,0,5,5,,0.0,0.0,0,0.0,0,DB00395,CCCC(C)(COC(=O)N)COC(=O)NC(C)C
Carvedilol,1,19,19,-0.7623353537510387,0.24006263115511473,0.10776280886897673,1295,0.15791123213477778,11,DB01136,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
Cefaclor,1,2,2,,0.0,0.0,0,0.0,0,DB00833,C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl
Cefazolin sodium,1,8,8,3.9178756157118757,0.07005573466195,0.059978670762839324,220,0.305044706306489,1,DB01327,CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-].[Na+]
Cefdinir,1,3,3,,0.0,0.0,0,0.0,0,DB00535,C=CC1=C(N2C(C(C2=O)NC(=O)C(=NO)C3=CSC(=N3)N)SC1)C(=O)O
Cefepime hydrochloride,1,7,7,,0.0,0.0,0,0.0,0,DB01413,C[N+]1(CCCC1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O.O.Cl.[Cl-]
Cefixime,1,2,2,,0.0,0.0,0,0.0,0,DB00671,C=CC1=C(N2C(C(C2=O)NC(=O)C(=NOCC(=O)O)C3=CSC(=N3)N)SC1)C(=O)O
Cefoperazone sodium,1,9,9,,0.0,0.0,0,0.0,0,DB01329,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=C(C=C2)O)C(=O)NC3C4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)[O-].[Na+]
Cefotaxime sodium,1,13,12,5.497524264445894,0.12955287134993804,0.04063432797648333,116,0.35294107537010777,2,DB00493,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)C(=NOC)C3=CSC(=N3)N)SC1)C(=O)[O-].[Na+]
Cefprozil,1,3,3,,0.0,0.0,0,0.0,0,DB01150,CC=CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O
