test_compound,reference_drug,reference_ltkbid,reference_dilirank,reference_category,tanimoto_similarity
Hyperforin,Carboplatin,LT00061,vLess-DILI-concern,DILI_positive,0.10909090909090909
Hyperforin,Carfilzomib,LT02395,vMost-DILI-concern,DILI_positive,0.11578947368421053
Hyperforin,Carvedilol,LT00207,vLess-DILI-concern,DILI_positive,0.05747126436781609
Hyperforin,Cefaclor,LT01166,vLess-DILI-concern,DILI_positive,0.10975609756097561
Hyperforin,Cefadroxil hemihydrate,LT01167,vLess-DILI-concern,DILI_positive,0.13253012048192772
Hyperforin,Cefazolin sodium,LT01171,vLess-DILI-concern,DILI_positive,0.1111111111111111
Hyperforin,Cefdinir,LT01289,vLess-DILI-concern,DILI_positive,0.12087912087912088
Hyperforin,Cefditoren pivoxil,LT01087,vLess-DILI-concern,DILI_positive,0.11607142857142858
Hyperforin,Cefepime hydrochloride,LT01172,vLess-DILI-concern,DILI_positive,0.10576923076923077
Hyperforin,Cefixime,LT01173,vLess-DILI-concern,DILI_positive,0.1368421052631579
Hyperforin,Cefoperazone sodium,LT01176,vLess-DILI-concern,DILI_positive,0.125
Hyperforin,Cefotaxime sodium,LT01177,vLess-DILI-concern,DILI_positive,0.1326530612244898
Hyperforin,Cefprozil,LT01182,vLess-DILI-concern,DILI_positive,0.16666666666666666
Hyperforin,Ceftaroline fosamil,LT02387,vLess-DILI-concern,DILI_positive,0.11016949152542373
Hyperforin,Ceftazidime,LT00062,vLess-DILI-concern,DILI_positive,0.11428571428571428
Hyperforin,Ceftriaxone sodium,LT01185,vLess-DILI-concern,DILI_positive,0.11009174311926606
Hyperforin,Cefuroxime sodium,LT01186,vLess-DILI-concern,DILI_positive,0.1111111111111111
Hyperforin,Celecoxib,LT00252,vLess-DILI-concern,DILI_positive,0.037037037037037035
Hyperforin,Cephalexin,LT01189,vLess-DILI-concern,DILI_positive,0.12345679012345678
Hyperforin,Ceritinib,LT03596,vMost-DILI-concern,DILI_positive,0.1111111111111111
Hyperforin,Cetirizine hydrochloride,LT01190,vLess-DILI-concern,DILI_positive,0.0875
Hyperforin,Chlorambucil,LT00286,vLess-DILI-concern,DILI_positive,0.07142857142857142
Hyperforin,Chlorcyclizine hydrochloride,LT00066,vLess-DILI-concern,DILI_positive,0.05714285714285714
Hyperforin,Chlordiazepoxide hydrochloride,LT01198,vLess-DILI-concern,DILI_positive,0.04878048780487805
Hyperforin,Chlormezanone,LT01201,vMost-DILI-concern,DILI_positive,0.08571428571428572
Hyperforin,Chloroquine phosphate,LT01207,vLess-DILI-concern,DILI_positive,0.08045977011494253
Hyperforin,Chlorothiazide,LT01208,vLess-DILI-concern,DILI_positive,0.02631578947368421
Hyperforin,Chlorpromazine hydrochloride,LT00068,vLess-DILI-concern,DILI_positive,0.05063291139240506
Hyperforin,Chlorpropamide,LT00379,vLess-DILI-concern,DILI_positive,0.08571428571428572
Hyperforin,Chlorzoxazone,LT00067,vMost-DILI-concern,DILI_positive,0.045454545454545456
Hyperforin,Cimetidine,LT01218,vLess-DILI-concern,DILI_positive,0.04819277108433735
Hyperforin,Cinchophen,LT01219,vMost-DILI-concern,DILI_positive,0.058823529411764705
Hyperforin,Ciprofloxacin hydrochloride,LT00178,vMost-DILI-concern,DILI_positive,0.10843373493975904
Hyperforin,Cisplatin,LT00071,vLess-DILI-concern,DILI_positive,0.0
Hyperforin,Citalopram hydrobromide,LT00219,vLess-DILI-concern,DILI_positive,0.06976744186046512
Hyperforin,Cladribine,LT01224,vLess-DILI-concern,DILI_positive,0.07317073170731707
Hyperforin,Clarithromycin,LT00187,vMost-DILI-concern,DILI_positive,0.09345794392523364
Hyperforin,Clindamycin hydrochloride,LT01225,vLess-DILI-concern,DILI_positive,0.13953488372093023
Hyperforin,Clindamycin phosphate,LT02346,vLess-DILI-concern,DILI_positive,0.12903225806451613
Hyperforin,Clofibrate,LT00011,vLess-DILI-concern,DILI_positive,0.08823529411764706
Hyperforin,Clomacran,LT00694,vMost-DILI-concern,DILI_positive,0.06493506493506493
Hyperforin,Clometacin,LT01228,vMost-DILI-concern,DILI_positive,0.07407407407407407
Hyperforin,Clomiphene citrate,LT00233,vLess-DILI-concern,DILI_positive,0.06976744186046512
Hyperforin,Clomipramine hydrochloride,LT00185,vMost-DILI-concern,DILI_positive,0.07792207792207792
Hyperforin,Clonazepam,LT00532,vLess-DILI-concern,DILI_positive,0.07407407407407407
Hyperforin,Clopidogrel bisulfate,LT01023,vLess-DILI-concern,DILI_positive,0.09411764705882353
Hyperforin,Clotrimazole,LT00248,vLess-DILI-concern,DILI_positive,0.02702702702702703
Hyperforin,Cloxacillin sodium,LT01235,vLess-DILI-concern,DILI_positive,0.10638297872340426
Hyperforin,Clozapine,LT00287,vMost-DILI-concern,DILI_positive,0.04938271604938271
Hyperforin,Colestipol hydrochloride,LT00881,vLess-DILI-concern,DILI_positive,0.01818181818181818
Hyperforin,Crizotinib,LT02436,vMost-DILI-concern,DILI_positive,0.07216494845360824
Hyperforin,Cromoglicate,LT02004,vLess-DILI-concern,DILI_positive,0.10810810810810811
Hyperforin,Cyclobenzaprine hydrochloride,LT01249,vLess-DILI-concern,DILI_positive,0.057971014492753624
Hyperforin,Cyclofenil,LT01250,vMost-DILI-concern,DILI_positive,0.140625
Hyperforin,Cyclophosphamide,LT00013,vLess-DILI-concern,DILI_positive,0.04411764705882353
Hyperforin,Cyclosporine,LT00380,vMost-DILI-concern,DILI_positive,0.11320754716981132
Hyperforin,Cyproheptadine hydrochloride,LT01255,vLess-DILI-concern,DILI_positive,0.043478260869565216
Hyperforin,Cytarabine,LT00209,vMost-DILI-concern,DILI_positive,0.0945945945945946
Hyperforin,Dabigatran etexilate mesylate,LT02345,vLess-DILI-concern,DILI_positive,0.05785123966942149
Hyperforin,Dacarbazine,LT00288,vMost-DILI-concern,DILI_positive,0.07142857142857142
Hyperforin,Dacomitinib,LT03652,vLess-DILI-concern,DILI_positive,0.08823529411764706
Hyperforin,Dactinomycin,LT00079,vMost-DILI-concern,DILI_positive,0.09836065573770492
Hyperforin,Dalteparin sodium,LT00961,vLess-DILI-concern,DILI_positive,0.06779661016949153
Hyperforin,Danazol,LT00539,vMost-DILI-concern,DILI_positive,0.10465116279069768
Hyperforin,Dantrolene sodium,LT00080,vMost-DILI-concern,DILI_positive,0.07058823529411765
Hyperforin,Dapsone,LT00289,vLess-DILI-concern,DILI_positive,0.034482758620689655
Hyperforin,Daptomycin,LT01200,vLess-DILI-concern,DILI_positive,0.08552631578947369
Hyperforin,Darunavir,LT01243,vMost-DILI-concern,DILI_positive,0.10891089108910891
Hyperforin,Dasatinib,LT01248,vLess-DILI-concern,DILI_positive,0.07920792079207921
Hyperforin,Deferasirox,LT00563,vMost-DILI-concern,DILI_positive,0.06666666666666667
Hyperforin,Deferoxamine mesylate,LT00386,vLess-DILI-concern,DILI_positive,0.07792207792207792
Hyperforin,Desloratadine,LT01085,vLess-DILI-concern,DILI_positive,0.0375
Hyperforin,Desvenlafaxine succinate,LT00573,vLess-DILI-concern,DILI_positive,0.13513513513513514
Hyperforin,Dexlansoprazole,LT01266,vLess-DILI-concern,DILI_positive,0.056818181818181816
Hyperforin,Dexmethylphenidate hydrochloride,LT02909,vLess-DILI-concern,DILI_positive,0.125
Hyperforin,Diazepam,LT00230,vLess-DILI-concern,DILI_positive,0.06493506493506493
Hyperforin,Diclofenac sodium,LT00084,vMost-DILI-concern,DILI_positive,0.1
Hyperforin,Dicloxacillin sodium,LT02041,vLess-DILI-concern,DILI_positive,0.0967741935483871
Hyperforin,Didanosine,LT01285,vMost-DILI-concern,DILI_positive,0.1038961038961039
Hyperforin,Diflunisal,LT00085,vMost-DILI-concern,DILI_positive,0.07142857142857142
Hyperforin,Diltiazem hydrochloride,LT01292,vMost-DILI-concern,DILI_positive,0.10112359550561797
Hyperforin,Dimethyl fumarate,LT02877,vMost-DILI-concern,DILI_positive,0.09615384615384616
Hyperforin,Disopyramide phosphate,LT01302,vLess-DILI-concern,DILI_positive,0.09876543209876543
Hyperforin,Disulfiram,LT00295,vMost-DILI-concern,DILI_positive,0.05263157894736842
Hyperforin,Divalproex sodium,LT00684,vMost-DILI-concern,DILI_positive,0.1
Hyperforin,Docetaxel,LT01309,vLess-DILI-concern,DILI_positive,0.09917355371900827
Hyperforin,Dofetilide,LT01040,vLess-DILI-concern,DILI_positive,0.05194805194805195
Hyperforin,Dolutegravir sodium,LT02905,vMost-DILI-concern,DILI_positive,0.11458333333333333
Hyperforin,Donepezil hydrochloride,LT00052,vLess-DILI-concern,DILI_positive,0.09523809523809523
Hyperforin,Doxazosin mesylate,LT01313,vLess-DILI-concern,DILI_positive,0.0707070707070707
Hyperforin,Doxepin hydrochloride,LT01314,vLess-DILI-concern,DILI_positive,0.06666666666666667
Hyperforin,Doxorubicin hydrochloride,LT00335,vLess-DILI-concern,DILI_positive,0.13725490196078433
Hyperforin,Doxycycline,LT00393,vLess-DILI-concern,DILI_positive,0.13636363636363635
Hyperforin,Dronedarone hydrochloride,LT00671,vMost-DILI-concern,DILI_positive,0.061855670103092786
Hyperforin,Droxicam,LT01318,vMost-DILI-concern,DILI_positive,0.047619047619047616
Hyperforin,Duloxetine hydrochloride,LT02035,vMost-DILI-concern,DILI_positive,0.04938271604938271
Hyperforin,Ebrotidine,LT01849,vMost-DILI-concern,DILI_positive,0.053763440860215055
Hyperforin,Efavirenz,LT01323,vMost-DILI-concern,DILI_positive,0.10126582278481013
Hyperforin,Eltrombopag olamine,LT00663,vMost-DILI-concern,DILI_positive,0.09278350515463918
Hyperforin,Enalapril maleate,LT00296,vLess-DILI-concern,DILI_positive,0.13793103448275862
Hyperforin,Enoxaparin sodium,LT00954,vLess-DILI-concern,DILI_positive,0.0916030534351145
Hyperforin,Entacapone,LT01968,vLess-DILI-concern,DILI_positive,0.10126582278481013
Hyperforin,Eplerenone,LT01149,vLess-DILI-concern,DILI_positive,0.12087912087912088
Hyperforin,Erlotinib hydrochloride,LT01214,vMost-DILI-concern,DILI_positive,0.045454545454545456
Hyperforin,Erythromycin estolate,LT00092,vMost-DILI-concern,DILI_positive,0.09375
Hyperforin,Escitalopram oxalate,LT02929,vLess-DILI-concern,DILI_positive,0.10227272727272728
Hyperforin,Esomeprazole sodium,LT01589,vLess-DILI-concern,DILI_positive,0.05747126436781609
Hyperforin,Estradiol valerate,LT00016,vLess-DILI-concern,DILI_positive,0.12790697674418605
Hyperforin,Estramustine phosphate sodium,LT01342,vMost-DILI-concern,DILI_positive,0.10416666666666667
Hyperforin,Eszopiclone,LT01161,vLess-DILI-concern,DILI_positive,0.09195402298850575
Hyperforin,Ethambutol hydrochloride,LT01345,vMost-DILI-concern,DILI_positive,0.06896551724137931
Hyperforin,Ethionamide,LT01348,vLess-DILI-concern,DILI_positive,0.05970149253731343
Hyperforin,Etodolac,LT00240,vMost-DILI-concern,DILI_positive,0.12658227848101267
Hyperforin,Etoposide,LT00094,vLess-DILI-concern,DILI_positive,0.1
Hyperforin,Etravirine,LT00653,vMost-DILI-concern,DILI_positive,0.03529411764705882
Hyperforin,Everolimus,LT01267,vLess-DILI-concern,DILI_positive,0.0948905109489051
Hyperforin,Exemestane,LT00394,vMost-DILI-concern,DILI_positive,0.1038961038961039
Hyperforin,Exifone,LT01359,vMost-DILI-concern,DILI_positive,0.07936507936507936
Hyperforin,Ezetimibe,LT01153,vLess-DILI-concern,DILI_positive,0.10126582278481013
Hyperforin,Falnidamol,LT01870,vMost-DILI-concern,DILI_positive,0.07692307692307693
Hyperforin,Famotidine,LT00095,vLess-DILI-concern,DILI_positive,0.06172839506172839
Hyperforin,Febuxostat,LT00554,vMost-DILI-concern,DILI_positive,0.09523809523809523
Hyperforin,Felbamate,LT00097,vMost-DILI-concern,DILI_positive,0.09523809523809523
Hyperforin,Felodipine,LT00397,vLess-DILI-concern,DILI_positive,0.11842105263157894
Hyperforin,Fenclozic acid,LT01846,vMost-DILI-concern,DILI_positive,0.08571428571428572
Hyperforin,Fenofibrate,LT00098,vLess-DILI-concern,DILI_positive,0.09722222222222222
Hyperforin,Fenofibric acid,LT00670,vLess-DILI-concern,DILI_positive,0.07246376811594203
Hyperforin,Fenoprofen calcium,LT00099,vMost-DILI-concern,DILI_positive,0.1
Hyperforin,Fialuridine,LT01371,vMost-DILI-concern,DILI_positive,0.09090909090909091
Hyperforin,Fiduxosin,LT00701,vMost-DILI-concern,DILI_positive,0.06140350877192982
Hyperforin,Finasteride,LT00167,vLess-DILI-concern,DILI_positive,0.13253012048192772
Hyperforin,Fingolimod hydrochloride,LT02342,vMost-DILI-concern,DILI_positive,0.07246376811594203
Hyperforin,Fipexide,LT01372,vMost-DILI-concern,DILI_positive,0.08433734939759036
Hyperforin,Flavoxate hydrochloride,LT00857,vLess-DILI-concern,DILI_positive,0.0898876404494382
Hyperforin,Flecainide acetate,LT01375,vLess-DILI-concern,DILI_positive,0.11494252873563218
Hyperforin,Fluconazole,LT00179,vMost-DILI-concern,DILI_positive,0.039473684210526314
Hyperforin,Fluorouracil,LT01029,vLess-DILI-concern,DILI_positive,0.05
Hyperforin,Fluoxetine hydrochloride,LT00018,vLess-DILI-concern,DILI_positive,0.06578947368421052
Hyperforin,Flurazepam hydrochloride,LT01394,vLess-DILI-concern,DILI_positive,0.06741573033707865
Hyperforin,Flurbiprofen sodium,LT00298,vLess-DILI-concern,DILI_positive,0.09859154929577464
Hyperforin,Flutamide,LT00101,vMost-DILI-concern,DILI_positive,0.125
Hyperforin,Fluvastatin sodium,LT00172,vLess-DILI-concern,DILI_positive,0.10112359550561797
Hyperforin,Fondaparinux sodium,LT01125,vLess-DILI-concern,DILI_positive,0.06930693069306931
Hyperforin,Fosfomycin tromethamine,LT01398,vLess-DILI-concern,DILI_positive,0.078125
Hyperforin,Fosinopril sodium,LT01399,vLess-DILI-concern,DILI_positive,0.12
Hyperforin,Fosphenytoin sodium,LT01400,vMost-DILI-concern,DILI_positive,0.06756756756756757
Hyperforin,Fospropofol disodium,LT00658,vLess-DILI-concern,DILI_positive,0.08823529411764706
Hyperforin,Gabapentin,LT00300,vLess-DILI-concern,DILI_positive,0.1
Hyperforin,Gefitinib,LT00402,vMost-DILI-concern,DILI_positive,0.04
Hyperforin,Gemcitabine hydrochloride,LT01407,vMost-DILI-concern,DILI_positive,0.11842105263157894
Hyperforin,Gemfibrozil,LT00020,vMost-DILI-concern,DILI_positive,0.08333333333333333
Hyperforin,Gemifloxacin mesylate,LT01084,vLess-DILI-concern,DILI_positive,0.09900990099009901
Hyperforin,Givosiran sodium,LT03686,vLess-DILI-concern,DILI_positive,0.08256880733944955
Hyperforin,Glafenine,LT02092,vMost-DILI-concern,DILI_positive,0.06741573033707865
Hyperforin,Glatiramer acetate,LT00985,vLess-DILI-concern,DILI_positive,0.14473684210526316
Hyperforin,Glimepiride,LT00173,vLess-DILI-concern,DILI_positive,0.11956521739130435
Hyperforin,Glipizide,LT00243,vLess-DILI-concern,DILI_positive,0.11494252873563218
Hyperforin,Glyburide,LT00302,vLess-DILI-concern,DILI_positive,0.0967741935483871
Hyperforin,Griseofulvin,LT00558,vMost-DILI-concern,DILI_positive,0.08641975308641975
Hyperforin,Haloperidol decanoate,LT02427,vLess-DILI-concern,DILI_positive,0.08791208791208792
Hyperforin,Haloperidol lactate,LT00405,vLess-DILI-concern,DILI_positive,0.11764705882352941
Hyperforin,Heparin sodium,LT01426,vLess-DILI-concern,DILI_positive,0.08653846153846154
Hyperforin,Hydralazine hydrochloride,LT00559,vLess-DILI-concern,DILI_positive,0.014492753623188406
Hyperforin,Hydrochlorothiazide,LT01433,vLess-DILI-concern,DILI_positive,0.04
Hyperforin,Hydroxychloroquine sulfate,LT02026,vLess-DILI-concern,DILI_positive,0.08888888888888889
Hyperforin,Hydroxyurea,LT00106,vMost-DILI-concern,DILI_positive,0.058823529411764705
Hyperforin,Ibandronate sodium,LT01156,vLess-DILI-concern,DILI_positive,0.05405405405405406
Hyperforin,Ibrutinib,LT02898,vMost-DILI-concern,DILI_positive,0.09375
Hyperforin,Ibufenac,LT00560,vMost-DILI-concern,DILI_positive,0.15517241379310345
Hyperforin,Ibuprofen,LT00199,vLess-DILI-concern,DILI_positive,0.1694915254237288
Hyperforin,Idelalisib,LT03610,vMost-DILI-concern,DILI_positive,0.061224489795918366
Hyperforin,Ifosfamide,LT00562,vLess-DILI-concern,DILI_positive,0.04225352112676056
Hyperforin,Imatinib mesylate,LT00107,vMost-DILI-concern,DILI_positive,0.0970873786407767
Hyperforin,Imipramine hydrochloride,LT00108,vLess-DILI-concern,DILI_positive,0.08823529411764706
Hyperforin,Inclisiran sodium,LT03691,vLess-DILI-concern,DILI_positive,0.07692307692307693
Hyperforin,Indomethacin,LT00022,vMost-DILI-concern,DILI_positive,0.07228915662650602
Hyperforin,Interferon alfa-2b,LT01306,vMost-DILI-concern,DILI_positive,0.08695652173913043
Hyperforin,Iproniazid,LT00109,vMost-DILI-concern,DILI_positive,0.12903225806451613
Hyperforin,Irbesartan,LT01005,vLess-DILI-concern,DILI_positive,0.07526881720430108
Hyperforin,Irinotecan hydrochloride,LT01466,vLess-DILI-concern,DILI_positive,0.10810810810810811
Hyperforin,Isaxonine,LT00696,vMost-DILI-concern,DILI_positive,0.08771929824561403
Hyperforin,Isoniazid,LT00306,vMost-DILI-concern,DILI_positive,0.1016949152542373
Hyperforin,Isotretinoin,LT00234,vMost-DILI-concern,DILI_positive,0.136986301369863
Hyperforin,Isradipine,LT01475,vLess-DILI-concern,DILI_positive,0.10975609756097561
Hyperforin,Itraconazole,LT00182,vMost-DILI-concern,DILI_positive,0.0990990990990991
Hyperforin,Ivacaftor,LT02431,vLess-DILI-concern,DILI_positive,0.08536585365853659
Hyperforin,Ivermectin,LT00568,vLess-DILI-concern,DILI_positive,0.10852713178294573
Hyperforin,Ketamine hydrochloride,LT00859,vLess-DILI-concern,DILI_positive,0.1
Hyperforin,Ketoconazole,LT00111,vMost-DILI-concern,DILI_positive,0.09803921568627451
Hyperforin,Ketoprofen,LT00023,vLess-DILI-concern,DILI_positive,0.125
Hyperforin,Ketorolac tromethamine,LT00204,vLess-DILI-concern,DILI_positive,0.11688311688311688
Hyperforin,Labetalol hydrochloride,LT00112,vMost-DILI-concern,DILI_positive,0.1111111111111111
Hyperforin,Lamivudine,LT00569,vLess-DILI-concern,DILI_positive,0.10666666666666667
Hyperforin,Lamotrigine,LT01481,vMost-DILI-concern,DILI_positive,0.028169014084507043
Hyperforin,Lansoprazole,LT00307,vLess-DILI-concern,DILI_positive,0.056818181818181816
Hyperforin,Lapatinib ditosylate,LT02204,vMost-DILI-concern,DILI_positive,0.04032258064516129
Hyperforin,Leflunomide,LT00113,vMost-DILI-concern,DILI_positive,0.08108108108108109
Hyperforin,Lenalidomide,LT01238,vLess-DILI-concern,DILI_positive,0.09210526315789473
Hyperforin,Letermovir,LT03701,vLess-DILI-concern,DILI_positive,0.08823529411764706
Hyperforin,Letrozole,LT00572,vLess-DILI-concern,DILI_positive,0.028169014084507043
Hyperforin,Leuprolide acetate,LT02019,vLess-DILI-concern,DILI_positive,0.1056338028169014
Hyperforin,Levetiracetam,LT01059,vLess-DILI-concern,DILI_positive,0.14285714285714285
Hyperforin,Levocetirizine dihydrochloride,LT00600,vLess-DILI-concern,DILI_positive,0.0875
Hyperforin,Levofloxacin,LT01488,vMost-DILI-concern,DILI_positive,0.10465116279069768
Hyperforin,Levothyroxine sodium,LT01072,vLess-DILI-concern,DILI_positive,0.1232876712328767
Hyperforin,Linagliptin,LT02445,vLess-DILI-concern,DILI_positive,0.0784313725490196
Hyperforin,Linezolid,LT01077,vLess-DILI-concern,DILI_positive,0.11904761904761904
Hyperforin,Liraglutide,LT01268,vLess-DILI-concern,DILI_positive,0.06395348837209303
Hyperforin,Lisinopril,LT01492,vLess-DILI-concern,DILI_positive,0.11764705882352941
Hyperforin,Lomitapide mesylate,LT02398,vMost-DILI-concern,DILI_positive,0.10784313725490197
Hyperforin,Lomustine,LT00575,vLess-DILI-concern,DILI_positive,0.1044776119402985
Hyperforin,Loracarbef,LT01497,vLess-DILI-concern,DILI_positive,0.1111111111111111
Hyperforin,Lorazepam,LT00181,vLess-DILI-concern,DILI_positive,0.10666666666666667
Hyperforin,Losartan potassium,LT01499,vLess-DILI-concern,DILI_positive,0.0425531914893617
Hyperforin,Lovastatin,LT00576,vLess-DILI-concern,DILI_positive,0.13333333333333333
Hyperforin,Lumiracoxib,LT00686,vMost-DILI-concern,DILI_positive,0.1038961038961039
Hyperforin,Macitentan,LT02451,vMost-DILI-concern,DILI_positive,0.05555555555555555
